,Portfolio,Weeks_until_Rebalance,Biweekly_Contribution,Worst_Year,Best_Year,Estimated_Annual_Return,Typical_Returns
453,"'SWPPX', 'IEF', 'WHOSX', 'SGGDX', 'DBC'",45.0,450.0,-9.55,17.09,9.47,-5.64 to 12.69
771,"'VIGRX', 'IEF', 'PRULX', 'OPGSX', 'GSP'",18.0,600.0,-10.49,18.88,9.47,-6.58 to 13.0
1607,"'VIGRX', 'IEF', 'PRULX', 'OPGSX', 'DBC'",47.0,1000.0,-10.4,19.2,9.45,-5.4 to 13.61
3269,"'VIGRX', 'IEI', 'WHOSX', 'VGPMX', 'DBC'",40.0,500.0,-10.65,18.28,9.44,-4.81 to 13.59
1026,"'VIGRX', 'IEF', 'VUSTX', 'USERX', 'DJP'",19.0,700.0,-10.64,16.88,9.44,-5.27 to 12.51
1677,"'VIGRX', 'IEF', 'WHOSX', 'VGPMX', 'GSG'",19.0,1000.0,-11.26,18.63,9.43,-5.24 to 12.74
1191,"'VIGRX', 'IEI', 'WHOSX', 'INIVX', 'DJP'",45.0,900.0,-9.88,17.45,9.42,-5.57 to 14.21
571,"'VIGRX', 'IEF', 'WHOSX', 'INIVX', 'GSG'",39.0,550.0,-10.73,18.91,9.41,-7.48 to 12.58
3970,"'VIGRX', 'ITE', 'PRULX', 'OPGSX', 'GSG'",39.0,900.0,-11.83,18.36,9.41,-5.05 to 13.01
3554,"'VIGRX', 'IEI', 'WHOSX', 'INIVX', 'GSP'",41.0,900.0,-10.85,18.44,9.41,-5.29 to 13.05
3920,"'VIGRX', 'IEF', 'PRULX', 'OPGSX', 'GSG'",21.0,950.0,-11.71,19.51,9.41,-5.55 to 13.66
1472,"'VIGRX', 'IEF', 'PRULX', 'INIVX', 'DBC'",26.0,250.0,-10.59,18.25,9.4,-6.72 to 13.01
3825,"'VIGRX', 'IEI', 'WHOSX', 'INIVX', 'DJP'",24.0,250.0,-9.19,17.79,9.39,-5.88 to 12.81
4612,"'VIGRX', 'IEF', 'WHOSX', 'SGGDX', 'GSP'",1.0,250.0,-10.89,17.25,9.38,-6.28 to 12.0
3511,"'VIGRX', 'IEF', 'VUSTX', 'OPGSX', 'GSP'",49.0,300.0,-11.44,19.14,9.38,-6.01 to 14.53
464,"'FUSEX', 'IEF', 'PRULX', 'OPGSX', 'DBC'",18.0,850.0,-10.27,17.76,9.37,-5.72 to 13.11
3171,"'VIGRX', 'IEF', 'VUSTX', 'SGGDX', 'DBC'",32.0,100.0,-10.31,16.12,9.36,-5.56 to 12.54
2885,"'VIGRX', 'ITE', 'VUSTX', 'SGGDX', 'DBC'",18.0,250.0,-9.3,17.24,9.36,-4.52 to 12.05
1359,"'VIGRX', 'BIV', 'PRULX', 'INIVX', 'GSG'",45.0,750.0,-13.0,21.09,9.36,-5.24 to 14.48
1972,"'VIGRX', 'IEI', 'WHOSX', 'SGGDX', 'DBC'",35.0,850.0,-9.74,15.96,9.36,-4.37 to 11.12
2901,"'VIGRX', 'IEF', 'WHOSX', 'USERX', 'GSG'",15.0,300.0,-10.57,18.42,9.35,-5.57 to 12.4
2000,"'VIGRX', 'IEF', 'WHOSX', 'INIVX', 'DBC'",33.0,450.0,-10.79,18.92,9.35,-6.93 to 12.65
4724,"'VIGRX', 'IEI', 'WHOSX', 'OPGSX', 'DBC'",38.0,400.0,-10.37,18.19,9.33,-6.54 to 12.95
3085,"'VIGRX', 'IEF', 'PRULX', 'USERX', 'GSP'",12.0,600.0,-10.36,18.06,9.33,-4.97 to 12.1
4312,"'VIGRX', 'IPE', 'PRULX', 'OPGSX', 'DBC'",13.0,950.0,-14.92,22.1,9.33,-7.13 to 14.39
209,"'VIGRX', 'IEF', 'VUSTX', 'SGGDX', 'DBC'",16.0,950.0,-10.24,17.36,9.33,-5.88 to 12.25
4742,"'PREIX', 'IEI', 'WHOSX', 'USERX', 'DBC'",40.0,850.0,-9.51,16.48,9.32,-4.51 to 11.99
4331,"'VIGRX', 'IEI', 'PRULX', 'INIVX', 'GSP'",27.0,900.0,-11.01,18.08,9.32,-5.95 to 12.56
3572,"'VIGRX', 'IEF', 'VUSTX', 'SGGDX', 'DBC'",35.0,950.0,-10.54,15.57,9.32,-4.73 to 11.88
310,"'VFINX', 'IEF', 'WHOSX', 'OPGSX', 'GSP'",28.0,450.0,-10.85,18.22,9.31,-6.7 to 12.98
4963,"'VIGRX', 'IEF', 'VUSTX', 'OPGSX', 'DBC'",47.0,950.0,-10.84,18.91,9.31,-5.27 to 14.15
4916,"'PREIX', 'IEF', 'PRULX', 'OPGSX', 'DBC'",40.0,200.0,-11.26,18.25,9.3,-5.52 to 13.32
4007,"'VFINX', 'IEF', 'PRULX', 'OPGSX', 'DBC'",45.0,750.0,-11.19,19.08,9.3,-5.75 to 14.51
3192,"'VIGRX', 'IEF', 'WHOSX', 'OPGSX', 'DBC'",41.0,800.0,-10.87,19.02,9.3,-6.35 to 13.58
1119,"'VIGRX', 'IEI', 'WHOSX', 'SGGDX', 'GSG'",21.0,950.0,-9.62,17.63,9.3,-4.83 to 12.24
1760,"'VIGRX', 'ITE', 'WHOSX', 'SGGDX', 'GSG'",29.0,100.0,-9.67,16.25,9.29,-5.11 to 11.26
938,"'VIGRX', 'IEF', 'WHOSX', 'USERX', 'GSG'",36.0,200.0,-9.82,17.04,9.29,-5.64 to 11.83
4319,"'VIGRX', 'BIV', 'PRULX', 'INIVX', 'GSG'",1.0,450.0,-13.45,20.19,9.29,-5.97 to 13.61
687,"'VIGRX', 'IEF', 'WHOSX', 'OPGSX', 'DJP'",47.0,650.0,-10.16,18.91,9.29,-6.24 to 13.72
3908,"'VIGRX', 'IPE', 'WHOSX', 'USERX', 'DBC'",6.0,800.0,-13.28,20.73,9.29,-6.56 to 13.92
4614,"'VIGRX', 'IEF', 'PRULX', 'OPGSX', 'DBC'",51.0,800.0,-10.74,16.56,9.29,-5.67 to 12.53
2409,"'VIGRX', 'IEI', 'WHOSX', 'SGGDX', 'DJP'",40.0,800.0,-9.09,17.2,9.29,-5.11 to 12.0
2461,"'VIGRX', 'IEF', 'WHOSX', 'SGGDX', 'DJP'",46.0,1000.0,-9.57,17.5,9.29,-6.06 to 11.68
1316,"'VIGRX', 'IEI', 'PRULX', 'OPGSX', 'DJP'",37.0,100.0,-10.79,17.75,9.28,-4.6 to 13.16
2051,"'VIGRX', 'IEI', 'PRULX', 'SGGDX', 'GSP'",4.0,350.0,-10.61,17.69,9.28,-4.53 to 12.3
3892,"'VIGRX', 'IEF', 'VUSTX', 'INIVX', 'DBC'",41.0,400.0,-11.09,18.82,9.28,-5.91 to 13.63
4711,"'VIGRX', 'IEF', 'PRULX', 'SGGDX', 'DBC'",46.0,750.0,-9.84,17.95,9.28,-5.51 to 12.12
4355,"'VIGRX', 'IEF', 'WHOSX', 'SGGDX', 'GSG'",14.0,250.0,-10.32,16.77,9.27,-5.98 to 11.55
2373,"'VIGRX', 'IPE', 'WHOSX', 'USERX', 'DBC'",37.0,350.0,-13.09,20.85,9.27,-6.09 to 14.31
1834,"'VIGRX', 'TIP', 'WHOSX', 'SGGDX', 'DBC'",42.0,350.0,-12.67,20.67,9.27,-6.71 to 13.68
2637,"'VIGRX', 'IEF', 'WHOSX', 'USERX', 'GSP'",32.0,350.0,-10.81,18.77,9.27,-5.68 to 12.56
4137,"'VIGRX', 'IEF', 'VUSTX', 'SGGDX', 'DBC'",19.0,400.0,-9.88,17.06,9.27,-5.75 to 12.07
2016,"'VFINX', 'IEF', 'VUSTX', 'OPGSX', 'DBC'",48.0,700.0,-11.09,17.14,9.27,-5.74 to 13.55
2756,"'VIGRX', 'ITE', 'WHOSX', 'SGGDX', 'DBC'",48.0,700.0,-9.15,16.38,9.27,-4.41 to 11.6
2798,"'VIGRX', 'IEF', 'VUSTX', 'OPGSX', 'GSG'",15.0,850.0,-11.69,19.36,9.27,-5.79 to 13.61
2768,"'VIGRX', 'IEF', 'WHOSX', 'INIVX', 'DBC'",41.0,850.0,-10.63,19.02,9.27,-7.74 to 13.12
3291,"'VIGRX', 'IPE', 'WHOSX', 'INIVX', 'DBC'",49.0,300.0,-13.49,21.46,9.26,-7.35 to 15.3
1520,"'VIGRX', 'IEF', 'VUSTX', 'VGPMX', 'GSP'",24.0,900.0,-12.37,18.59,9.26,-5.81 to 13.71
2357,"'VIGRX', 'IEF', 'PRULX', 'OPGSX', 'DJP'",14.0,950.0,-11.66,18.77,9.26,-6.01 to 13.1
3162,"'PREIX', 'IEF', 'WHOSX', 'SGGDX', 'DJP'",43.0,100.0,-9.67,16.77,9.25,-5.9 to 11.55
1029,"'VIGRX', 'IEI', 'WHOSX', 'SGGDX', 'DBC'",16.0,200.0,-9.25,17.17,9.25,-6.42 to 11.78
3651,"'VIGRX', 'IEF', 'WHOSX', 'SGGDX', 'DBC'",41.0,400.0,-9.81,16.94,9.25,-6.21 to 11.84
4126,"'VIGRX', 'IEF', 'WHOSX', 'INIVX', 'DBC'",4.0,650.0,-10.55,18.31,9.25,-7.6 to 12.84
1585,"'VIGRX', 'IEF', 'VUSTX', 'INIVX', 'DBC'",11.0,800.0,-10.73,19.03,9.25,-6.23 to 13.1
1990,"'VIGRX', 'IEI', 'VUSTX', 'INIVX', 'DBC'",48.0,850.0,-10.37,17.94,9.25,-4.76 to 13.45
4707,"'VIGRX', 'IEF', 'WHOSX', 'OPGSX', 'DBC'",8.0,900.0,-10.6,18.09,9.25,-7.25 to 12.95
4195,"'VIGRX', 'IEF', 'PRULX', 'SGGDX', 'DBC'",11.0,900.0,-10.06,16.92,9.25,-5.88 to 11.78
277,"'VIGRX', 'IEI', 'WHOSX', 'SGGDX', 'DJP'",31.0,900.0,-9.28,16.69,9.25,-4.46 to 11.61
4466,"'VIGRX', 'IEI', 'PRULX', 'USERX', 'GSP'",21.0,1000.0,-10.69,17.86,9.25,-3.9 to 12.61
4688,"'SWPPX', 'IEF', 'WHOSX', 'INIVX', 'DBC'",31.0,100.0,-10.41,17.53,9.24,-6.13 to 12.31
2926,"'VIGRX', 'IPE', 'VUSTX', 'USERX', 'GSP'",48.0,150.0,-14.4,21.45,9.24,-5.64 to 14.7
1498,"'VIGRX', 'BIV', 'PRULX', 'SGGDX', 'DBC'",13.0,400.0,-12.28,19.02,9.24,-5.61 to 13.24
625,"'VIGRX', 'IEF', 'PRULX', 'USERX', 'GSG'",47.0,600.0,-10.32,18.04,9.24,-4.48 to 12.75
4519,"'VIGRX', 'BIV', 'VUSTX', 'INIVX', 'GSG'",40.0,650.0,-13.35,20.64,9.24,-5.37 to 14.4
4418,"'VIGRX', 'IPE', 'VUSTX', 'SGGDX', 'DBC'",27.0,700.0,-13.34,20.87,9.24,-6.9 to 14.5
3816,"'VIGRX', 'IEI', 'VUSTX', 'VGPMX', 'GSP'",47.0,1000.0,-11.56,19.04,9.24,-5.04 to 14.05
2795,"'VIGRX', 'IEF', 'WHOSX', 'OPGSX', 'GSG'",26.0,150.0,-10.14,18.67,9.23,-6.7 to 12.66
4961,"'VIGRX', 'ITE', 'WHOSX', 'INIVX', 'GSG'",28.0,300.0,-10.37,18.16,9.23,-6.62 to 12.4
4217,"'VIGRX', 'ITE', 'WHOSX', 'USERX', 'DBC'",49.0,550.0,-9.6,17.08,9.23,-4.95 to 12.99
4108,"'SWPPX', 'IEF', 'PRULX', 'INIVX', 'DBC'",1.0,700.0,-11.13,18.13,9.23,-5.98 to 12.4
3702,"'VIGRX', 'ITE', 'PRULX', 'SGGDX', 'DJP'",29.0,700.0,-10.14,16.86,9.23,-4.35 to 11.91
1975,"'VIGRX', 'TIP', 'PRULX', 'INIVX', 'DBC'",19.0,800.0,-14.19,20.63,9.23,-6.82 to 14.31
4147,"'VIGRX', 'IGIB', 'WHOSX', 'SGGDX', 'DJP'",26.0,300.0,-11.9,18.87,9.22,-5.11 to 12.08
3504,"'VIGRX', 'TIP', 'WHOSX', 'OPGSX', 'GSP'",11.0,350.0,-14.74,21.62,9.22,-7.21 to 14.06
4568,"'VIGRX', 'IEI', 'PRULX', 'INIVX', 'GSG'",25.0,400.0,-10.45,18.66,9.22,-4.95 to 12.97
3242,"'VIGRX', 'ITE', 'WHOSX', 'INIVX', 'GSP'",49.0,450.0,-10.54,17.59,9.22,-6.01 to 13.02
1821,"'VIGRX', 'IEI', 'VUSTX', 'OPGSX', 'GSG'",29.0,500.0,-11.46,18.54,9.22,-5.13 to 13.29
4200,"'VIGRX', 'ITE', 'WHOSX', 'INIVX', 'DBC'",2.0,850.0,-10.62,18.16,9.22,-6.96 to 12.42
2417,"'VIGRX', 'IPE', 'WHOSX', 'INIVX', 'DJP'",19.0,900.0,-13.84,20.74,9.22,-7.34 to 13.87
2264,"'VIGRX', 'IGIB', 'PRULX', 'OPGSX', 'DBC'",25.0,200.0,-12.72,20.72,9.21,-4.91 to 13.9
4224,"'FUSEX', 'IEF', 'WHOSX', 'VGPMX', 'DBC'",46.0,100.0,-10.99,17.64,9.2,-5.83 to 12.08
893,"'VIGRX', 'BIV', 'VUSTX', 'USERX', 'GSG'",1.0,250.0,-13.19,19.87,9.2,-5.44 to 14.35
790,"'VIGRX', 'TIP', 'WHOSX', 'INIVX', 'GSP'",9.0,400.0,-13.65,20.99,9.2,-6.56 to 13.84
1333,"'VIGRX', 'IPE', 'PRULX', 'OPGSX', 'DBC'",18.0,100.0,-13.3,21.27,9.19,-6.73 to 14.24
4502,"'VIGRX', 'ITE', 'WHOSX', 'OPGSX', 'GSG'",48.0,200.0,-10.57,18.05,9.19,-5.06 to 12.96
1168,"'VIGRX', 'IEI', 'PRULX', 'INIVX', 'GSP'",8.0,300.0,-10.71,17.39,9.19,-5.66 to 12.52
3832,"'VIGRX', 'ITE', 'WHOSX', 'SGGDX', 'GSP'",40.0,350.0,-9.61,17.62,9.19,-4.85 to 12.31
2611,"'VIGRX', 'IPE', 'WHOSX', 'VGPMX', 'GSG'",46.0,400.0,-14.3,21.44,9.19,-6.14 to 13.92
1249,"'VIGRX', 'IEF', 'WHOSX', 'INIVX', 'GSG'",40.0,450.0,-10.49,19.36,9.19,-7.21 to 13.24
4359,"'VIGRX', 'IEI', 'WHOSX', 'USERX', 'DJP'",21.0,650.0,-9.57,17.29,9.19,-4.69 to 12.48
957,"'VIGRX', 'ITE', 'PRULX', 'OPGSX', 'DBC'",9.0,750.0,-10.64,17.84,9.19,-5.7 to 12.56
2754,"'VIGRX', 'TIP', 'PRULX', 'VGPMX', 'DBC'",45.0,900.0,-14.87,22.24,9.19,-5.95 to 14.46
4304,"'VIGRX', 'ITE', 'PRULX', 'SGGDX', 'DJP'",40.0,950.0,-10.05,17.31,9.19,-4.22 to 12.22
2115,"'VFINX', 'IEF', 'PRULX', 'SGGDX', 'DBC'",18.0,100.0,-9.65,17.02,9.18,-5.45 to 11.54
1759,"'VIGRX', 'ITE', 'WHOSX', 'VGPMX', 'DBC'",24.0,200.0,-10.96,17.33,9.18,-4.98 to 13.0
2557,"'VIGRX', 'ITE', 'WHOSX', 'SGGDX', 'GSP'",39.0,250.0,-10.28,17.17,9.18,-5.23 to 11.94
3727,"'VIGRX', 'ITE', 'PRULX', 'USERX', 'DBC'",44.0,400.0,-10.44,17.41,9.18,-4.58 to 12.91
1832,"'VIGRX', 'IPE', 'VUSTX', 'INIVX', 'DBC'",34.0,550.0,-14.68,21.49,9.18,-6.2 to 14.96
2247,"'VIGRX', 'ITE', 'WHOSX', 'OPGSX', 'DJP'",44.0,550.0,-10.85,18.29,9.18,-6.49 to 13.62
1601,"'VIGRX', 'IEI', 'PRULX', 'INIVX', 'GSG'",46.0,600.0,-10.96,17.61,9.18,-5.15 to 12.67
32,"'VFINX', 'IEF', 'WHOSX', 'VGPMX', 'DBC'",45.0,750.0,-10.86,18.61,9.18,-5.89 to 14.04
1572,"'VIGRX', 'IPE', 'PRULX', 'SGGDX', 'GSG'",19.0,950.0,-13.72,20.3,9.18,-5.78 to 13.43
3909,"'VIGRX', 'IEI', 'WHOSX', 'SGGDX', 'GSG'",34.0,950.0,-10.28,16.17,9.18,-4.04 to 11.29
1867,"'FUSEX', 'ITE', 'WHOSX', 'SGGDX', 'DBC'",28.0,950.0,-9.09,16.19,9.18,-5.1 to 11.31
3344,"'VIGRX', 'IEI', 'VUSTX', 'USERX', 'DJP'",39.0,150.0,-10.3,17.22,9.17,-4.18 to 12.61
3783,"'VFINX', 'IEI', 'PRULX', 'INIVX', 'DBC'",36.0,650.0,-9.77,16.89,9.17,-5.82 to 12.33
4675,"'VIGRX', 'IEI', 'WHOSX', 'SGGDX', 'GSG'",40.0,850.0,-9.33,17.68,9.17,-4.51 to 12.1
1130,"'VIGRX', 'IEF', 'VUSTX', 'VGPMX', 'DBC'",45.0,900.0,-10.96,20.18,9.17,-5.3 to 14.8
1360,"'VIGRX', 'TIP', 'WHOSX', 'SGGDX', 'DBC'",46.0,250.0,-12.39,20.28,9.16,-6.13 to 13.46
1558,"'VIGRX', 'ITE', 'WHOSX', 'INIVX', 'GSP'",1.0,250.0,-11.29,18.49,9.16,-5.62 to 12.37
4046,"'VIGRX', 'BIV', 'VUSTX', 'INIVX', 'GSG'",40.0,400.0,-13.35,20.64,9.16,-5.37 to 14.4
2940,"'VIGRX', 'IEI', 'VUSTX', 'INIVX', 'GSP'",4.0,400.0,-11.61,18.83,9.16,-5.1 to 13.24
2172,"'VFINX', 'IEF', 'VUSTX', 'INIVX', 'DBC'",43.0,400.0,-11.26,18.38,9.16,-6.11 to 12.95
4081,"'VIGRX', 'IPE', 'PRULX', 'INIVX', 'DBC'",32.0,700.0,-14.26,21.7,9.16,-6.63 to 15.0
1994,"'VIGRX', 'IEI', 'WHOSX', 'VGPMX', 'GSP'",32.0,750.0,-12.0,18.57,9.16,-5.05 to 13.84
1179,"'VIGRX', 'IEF', 'WHOSX', 'INIVX', 'DBC'",3.0,750.0,-10.77,18.99,9.16,-7.62 to 12.99
4450,"'VIGRX', 'TIP', 'PRULX', 'OPGSX', 'DBC'",13.0,900.0,-14.23,22.14,9.16,-7.0 to 14.29
3325,"'VIGRX', 'IPE', 'VUSTX', 'USERX', 'GSG'",28.0,900.0,-14.07,21.1,9.16,-6.11 to 14.45
2620,"'VIGRX', 'IEI', 'WHOSX', 'SGGDX', 'DJP'",36.0,100.0,-9.06,16.5,9.15,-5.84 to 11.55
2130,"'VIGRX', 'TIP', 'VUSTX', 'OPGSX', 'DBC'",42.0,200.0,-14.83,22.01,9.15,-6.96 to 14.64
2225,"'VFINX', 'IEI', 'WHOSX', 'OPGSX', 'GSG'",18.0,400.0,-9.81,16.87,9.15,-5.22 to 12.23
73,"'VIGRX', 'IPE', 'VUSTX', 'INIVX', 'GSP'",48.0,500.0,-14.72,21.65,9.15,-6.17 to 15.09
1719,"'VIGRX', 'IEI', 'VUSTX', 'USERX', 'GSP'",2.0,500.0,-11.76,17.98,9.15,-3.95 to 12.45
3097,"'VIGRX', 'IPE', 'WHOSX', 'INIVX', 'GSG'",8.0,600.0,-13.8,20.91,9.15,-7.09 to 14.12
2169,"'SWPPX', 'IEF', 'WHOSX', 'SGGDX', 'DBC'",5.0,650.0,-10.56,16.88,9.15,-6.05 to 11.25
903,"'VIGRX', 'IEF', 'PRULX', 'OPGSX', 'GSP'",21.0,850.0,-11.77,19.63,9.15,-5.77 to 13.7
201,"'VIGRX', 'IEF', 'PRULX', 'INIVX', 'DBC'",11.0,250.0,-10.84,18.93,9.14,-6.46 to 12.72
3301,"'VIGRX', 'IEF', 'WHOSX', 'USERX', 'DJP'",32.0,250.0,-9.94,17.09,9.14,-5.66 to 12.6
2532,"'VIGRX', 'IEF', 'WHOSX', 'VGPMX', 'GSG'",20.0,400.0,-11.51,19.03,9.14,-5.54 to 12.96
3549,"'VIGRX', 'TIP', 'PRULX', 'INIVX', 'DBC'",28.0,450.0,-13.93,21.65,9.14,-6.57 to 14.47
4351,"'SWPPX', 'IEF', 'VUSTX', 'USERX', 'GSP'",47.0,500.0,-10.89,17.21,9.14,-4.62 to 12.52
1000,"'VIGRX', 'IEI', 'VUSTX', 'INIVX', 'DBC'",14.0,550.0,-11.08,18.25,9.14,-5.27 to 12.86
180,"'VIGRX', 'IEF', 'PRULX', 'SGGDX', 'GSP'",15.0,600.0,-10.69,18.67,9.14,-5.7 to 12.18
3390,"'VIGRX', 'IEF', 'WHOSX', 'VGPMX', 'GSG'",1.0,700.0,-12.83,19.27,9.14,-5.17 to 12.87
921,"'PREIX', 'IEF', 'WHOSX', 'SGGDX', 'DJP'",24.0,700.0,-9.94,15.64,9.14,-5.96 to 11.66
1890,"'VIGRX', 'ITE', 'WHOSX', 'USERX', 'DJP'",4.0,900.0,-10.15,17.12,9.14,-4.94 to 12.22
4565,"'VFINX', 'IEF', 'VUSTX', 'VGPMX', 'DBC'",46.0,950.0,-11.5,17.52,9.14,-5.45 to 12.55
3217,"'VIGRX', 'IPE', 'WHOSX', 'SGGDX', 'DJP'",43.0,1000.0,-12.87,20.51,9.14,-7.26 to 13.34
1818,"'VIGRX', 'IGIB', 'WHOSX', 'OPGSX', 'GSP'",39.0,100.0,-13.85,20.69,9.13,-5.73 to 12.5
2993,"'SWPPX', 'IEI', 'WHOSX', 'OPGSX', 'DBC'",13.0,200.0,-10.7,17.67,9.13,-6.0 to 12.6
888,"'VIGRX', 'IEF', 'WHOSX', 'OPGSX', 'DJP'",47.0,200.0,-10.16,18.91,9.13,-6.24 to 13.72
4284,"'VIGRX', 'IGIB', 'VUSTX', 'SGGDX', 'DBC'",1.0,350.0,-12.54,19.73,9.13,-4.44 to 13.63
855,"'VFINX', 'IEF', 'WHOSX', 'USERX', 'DBC'",42.0,350.0,-10.26,17.19,9.13,-5.7 to 12.14
4937,"'VIGRX', 'IEF', 'VUSTX', 'INIVX', 'DBC'",38.0,400.0,-11.01,18.47,9.13,-6.32 to 13.18
159,"'VIGRX', 'ITE', 'PRULX', 'OPGSX', 'DBC'",4.0,500.0,-11.57,18.28,9.13,-4.97 to 12.76
2269,"'VIGRX', 'ITE', 'WHOSX', 'VGPMX', 'DBC'",42.0,600.0,-11.33,18.78,9.13,-5.53 to 13.89
2429,"'VIGRX', 'ITE', 'VUSTX', 'SGGDX', 'DBC'",40.0,1000.0,-9.94,17.49,9.13,-4.72 to 12.79
4053,"'VIGRX', 'IPE', 'PRULX', 'USERX', 'DBC'",5.0,150.0,-14.12,20.87,9.12,-6.09 to 13.81
4831,"'VIGRX', 'IGIB', 'VUSTX', 'OPGSX', 'GSP'",30.0,350.0,-14.83,21.17,9.12,-6.04 to 13.35
4713,"'VIGRX', 'TIP', 'WHOSX', 'INIVX', 'DBC'",18.0,350.0,-12.7,20.62,9.12,-7.92 to 14.26
3764,"'VIGRX', 'ITE', 'WHOSX', 'INIVX', 'GSP'",40.0,400.0,-10.68,18.43,9.12,-5.67 to 12.62
4947,"'VFINX', 'IEF', 'VUSTX', 'SGGDX', 'DBC'",27.0,400.0,-9.87,16.77,9.12,-5.7 to 11.75
216,"'VFINX', 'IEF', 'WHOSX', 'INIVX', 'DBC'",49.0,600.0,-10.43,16.96,9.12,-6.31 to 12.84
1274,"'VIGRX', 'IPE', 'WHOSX', 'SGGDX', 'GSP'",1.0,750.0,-13.84,21.07,9.12,-6.68 to 14.27
172,"'VIGRX', 'TIP', 'WHOSX', 'OPGSX', 'DJP'",16.0,800.0,-14.13,21.49,9.12,-7.56 to 14.02
2906,"'SWPPX', 'IEI', 'WHOSX', 'INIVX', 'DJP'",45.0,850.0,-10.42,17.84,9.12,-5.59 to 14.31
2523,"'VIGRX', 'BIV', 'WHOSX', 'SGGDX', 'GSG'",52.0,900.0,-11.31,18.11,9.12,-5.77 to 12.42
875,"'VIGRX', 'IEI', 'PRULX', 'INIVX', 'DBC'",27.0,200.0,-10.34,17.16,9.11,-5.91 to 12.59
2445,"'VIGRX', 'IPE', 'WHOSX', 'USERX', 'GSP'",52.0,250.0,-13.11,19.95,9.11,-5.75 to 12.88
3135,"'VIGRX', 'BIV', 'PRULX', 'INIVX', 'GSG'",36.0,250.0,-12.84,19.71,9.11,-5.92 to 13.27
3461,"'VIGRX', 'BIV', 'WHOSX', 'OPGSX', 'DJP'",47.0,250.0,-12.72,19.66,9.11,-6.73 to 14.35
3872,"'VIGRX', 'ITE', 'WHOSX', 'SGGDX', 'GSG'",44.0,250.0,-9.41,17.14,9.11,-4.33 to 11.81
4381,"'VIGRX', 'IEF', 'VUSTX', 'OPGSX', 'DJP'",27.0,350.0,-11.06,18.5,9.11,-6.72 to 13.85
4482,"'SWPPX', 'IEF', 'WHOSX', 'USERX', 'GSP'",42.0,400.0,-10.58,17.21,9.11,-5.75 to 12.06
763,"'VIGRX', 'ITE', 'PRULX', 'USERX', 'DBC'",35.0,450.0,-11.02,16.5,9.11,-3.41 to 11.91
3432,"'PREIX', 'IEI', 'WHOSX', 'INIVX', 'DBC'",47.0,450.0,-9.38,16.74,9.11,-5.02 to 12.71
326,"'VIGRX', 'BIV', 'WHOSX', 'SGGDX', 'DBC'",16.0,600.0,-11.45,19.32,9.11,-7.55 to 12.76
4120,"'VIGRX', 'IEF', 'PRULX', 'SGGDX', 'GSG'",11.0,600.0,-10.52,17.06,9.11,-5.34 to 11.47
3834,"'VIGRX', 'IEF', 'PRULX', 'VGPMX', 'DJP'",49.0,650.0,-11.26,18.63,9.11,-5.27 to 13.44
1962,"'VIGRX', 'TIP', 'WHOSX', 'VGPMX', 'DBC'",20.0,750.0,-14.14,21.52,9.11,-6.04 to 14.27
